alpha, beta, pop, mut, prng_seed, replication, thresh, budget
0.999944525, 0.525, 432000, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 432000, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 432000, 1.0, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 216500, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 216500, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 216500, 1.0, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 1000, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 1000, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.525, 1000, 1.0, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 432000, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 432000, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 432000, 1.0, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 216500, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 216500, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 216500, 1.0, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 1000, 0.2, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 1000, 0.6, 278446934, 0, 0.05, 86400
0.999944525, 0.05, 1000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 1.0, 432000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 1.0, 432000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 1.0, 432000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 1.0, 216500, 0.2, 278446934, 0, 0.05, 86400
0.999556, 1.0, 216500, 0.6, 278446934, 0, 0.05, 86400
0.999556, 1.0, 216500, 1.0, 278446934, 0, 0.05, 86400
0.999556, 1.0, 1000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 1.0, 1000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 1.0, 1000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.525, 432000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.525, 432000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.525, 432000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.525, 216500, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.525, 216500, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.525, 216500, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.525, 1000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.525, 1000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.525, 1000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.05, 432000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.05, 432000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.05, 432000, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.05, 216500, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.05, 216500, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.05, 216500, 1.0, 278446934, 0, 0.05, 86400
0.999556, 0.05, 1000, 0.2, 278446934, 0, 0.05, 86400
0.999556, 0.05, 1000, 0.6, 278446934, 0, 0.05, 86400
0.999556, 0.05, 1000, 1.0, 278446934, 0, 0.05, 86400
0.999993033, 1.0, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.525, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999993033, 0.05, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 1.0, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.525, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999944525, 0.05, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 1.0, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 1.0, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 1.0, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 1.0, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999556, 1.0, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999556, 1.0, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999556, 1.0, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 1.0, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 1.0, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.525, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.525, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.525, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.525, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.525, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.525, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.525, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.525, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.525, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.05, 432000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.05, 432000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.05, 432000, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.05, 216500, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.05, 216500, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.05, 216500, 1.0, 278446934, 1, 0.05, 86400
0.999556, 0.05, 1000, 0.2, 278446934, 1, 0.05, 86400
0.999556, 0.05, 1000, 0.6, 278446934, 1, 0.05, 86400
0.999556, 0.05, 1000, 1.0, 278446934, 1, 0.05, 86400
0.999993033, 1.0, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.525, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999993033, 0.05, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 1.0, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.525, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999944525, 0.05, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 1.0, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 1.0, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 1.0, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 1.0, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999556, 1.0, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999556, 1.0, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999556, 1.0, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 1.0, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 1.0, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.525, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.525, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.525, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.525, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.525, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.525, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.525, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.525, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.525, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.05, 432000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.05, 432000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.05, 432000, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.05, 216500, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.05, 216500, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.05, 216500, 1.0, 278446934, 2, 0.05, 86400
0.999556, 0.05, 1000, 0.2, 278446934, 2, 0.05, 86400
0.999556, 0.05, 1000, 0.6, 278446934, 2, 0.05, 86400
0.999556, 0.05, 1000, 1.0, 278446934, 2, 0.05, 86400
0.999993033, 1.0, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.525, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999993033, 0.05, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 1.0, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.525, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999944525, 0.05, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 1.0, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 1.0, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 1.0, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 1.0, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999556, 1.0, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999556, 1.0, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999556, 1.0, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 1.0, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 1.0, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.525, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.525, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.525, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.525, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.525, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.525, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.525, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.525, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.525, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.05, 432000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.05, 432000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.05, 432000, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.05, 216500, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.05, 216500, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.05, 216500, 1.0, 888339783, 0, 0.05, 86400
0.999556, 0.05, 1000, 0.2, 888339783, 0, 0.05, 86400
0.999556, 0.05, 1000, 0.6, 888339783, 0, 0.05, 86400
0.999556, 0.05, 1000, 1.0, 888339783, 0, 0.05, 86400
0.999993033, 1.0, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 1.0, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.525, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999993033, 0.05, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 1.0, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.525, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 432000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 432000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 432000, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 216500, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 216500, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 216500, 1.0, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 1000, 0.2, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 1000, 0.6, 888339783, 1, 0.05, 86400
0.999944525, 0.05, 1000, 1.0, 888339783, 1, 0.05, 86400
0.999556, 1.0, 432000, 0.2, 888339783, 1, 0.05, 86400
